wall_time_utc,AvgActC,Avg_EClk,Bus_Clk,C0_C0res,C0_C1res,C0_C6res,C0_Clk,C0_P,C0_R,C0_T,C0_T0_EClk,C0_T0_U,C0_T0_Util,C0_T1_EClk,C0_T1_U,C0_T1_Util,C0_VID,C1_C0res,C1_C1res,C1_C6res,C1_Clk,C1_P,C1_R,C1_T,C1_T0_EClk,C1_T0_U,C1_T0_Util,C1_T1_EClk,C1_T1_U,C1_T1_Util,C1_VID,C2_C0res,C2_C1res,C2_C6res,C2_Clk,C2_P,C2_R,C2_T,C2_T0_EClk,C2_T0_U,C2_T0_Util,C2_T1_EClk,C2_T1_U,C2_T1_Util,C2_VID,C3_C0res,C3_C1res,C3_C6res,C3_Clk,C3_P,C3_R,C3_T,C3_T0_EClk,C3_T0_U,C3_T0_Util,C3_T1_EClk,C3_T1_U,C3_T1_Util,C3_VID,C4_C0res,C4_C1res,C4_C6res,C4_Clk,C4_P,C4_R,C4_T,C4_T0_EClk,C4_T0_U,C4_T0_Util,C4_T1_EClk,C4_T1_U,C4_T1_Util,C4_VID,C5_C0res,C5_C1res,C5_C6res,C5_Clk,C5_P,C5_R,C5_T,C5_T0_EClk,C5_T0_U,C5_T0_Util,C5_T1_EClk,C5_T1_U,C5_T1_Util,C5_VID,C6_C0res,C6_C1res,C6_C6res,C6_Clk,C6_P,C6_R,C6_T,C6_T0_EClk,C6_T0_U,C6_T0_Util,C6_T1_EClk,C6_T1_U,C6_T1_Util,C6_VID,C7_C0res,C7_C1res,C7_C6res,C7_Clk,C7_P,C7_R,C7_T0_EClk,C7_T0_U,C7_T0_Util,C7_T1_EClk,C7_T1_U,C7_T1_Util,C7_VID,CCD1_Tdie,CPU_Core_I,CPU_Core_P,CPU_DieAvg,CPU_EDC,CPU_MISC_I,CPU_PPT,CPU_Pkg_P,CPU_SoC_I,CPU_SoC_P,CPU_TDC,CPU_Tctl,CPU_Tot_P,CPU_U,CPU_Util,DRAM_R_BW,DRAM_W_BW,EDC_Lim,FCLK,Freq_GLim,HTC_TT,IOD_Avg,IOD_Hot,L3_Clk,L3_T,MaxThr_U,PPT_F_Lim,PPT_Lim,PROCHOT_CPU,PROCHOT_EXT,Pkg_C6,TDC_Lim,T_Lim,UCLK,VDDCR_SOC_TVRM,VDDCR_SOC_V,VDDCR_VDD_TVRM,VDDCR_VDD_V,VDD_MISC_TVRM,VDD_MISC_V,coolant_c
2026-07-03T07:29:43.708840+00:00,1.02034,368.086,107,12.61,62.69,24.73,5002.25,1.8568,46.75,3.47702,678.797,6.25,13.72,12.4245,0,0.2179,1.19,36.97,52.81,10.46,5863.6,5.3638,54.8,11.4175,1095.01,20,21.48,1055.17,17.46,20.81,1.17,1.736,15.82,82.45,4993.22,0.3957,46.6656,1.63849,88.0551,0,1.653,6.11101,0,0.09877,1.17,45.43,43.9,10.84,5863.6,3.8139,54.8,7.01136,539.05,6.25,10.49,2118.3,32.81,41.87,1.17,0.8008,5.59,93.62,4993.22,0.14596,46.6656,0.848277,31.3449,0,0.5664,10.7314,0,0.1929,1.17,3.236,26.78,69.99,4993.22,0.68933,46.6656,0.867507,165.429,3.175,3.127,13.1677,0,0.2359,1.17,0.9586,65.26,33.87,4993.22,1.0419,46.6656,1.36763,41.7923,0,0.7074,18.0921,0,0.2401,1.17,0.2845,8.924,90.92,4993.22,0.16329,46.6656,8.07766,0,0.1134,7.82191,0,0.1125,1.17,11.625,12.078,16.648,19.3683,70.5,5.0659,40.478,40.654,9.1484,10.938,12.134,30,33.158,5.372,7.227,0.500446,0.338304,7.05,2200,5734.62,0,9.67308,16,5641.01,4.21816,32.81,4.048,4.048,0,0,1.119,5.163,20.39,3200,31,1.196,32.1299,1.325,42,1.1,-0.625
2026-07-03T07:29:44.713684+00:00,0.748033,269.929,107,9.253,65.72,25.03,5002.25,1.5189,46.75,2.56654,480.595,14.06,9.866,12.4312,1.538,0.2194,1.06,43.4,54.13,2.485,5863.6,3.4696,54.8,5.30995,178.521,4.688,3.386,2372.04,36.92,46.73,1.37,2.002,6.826,91.22,4993.22,0.29066,46.6656,0.971144,103.18,4.615,1.903,9.90651,1.538,0.1741,1.37,14.63,76.84,8.536,5863.6,2.1296,54.8,3.28296,281.406,1.562,5.237,567.198,12.31,11,1.37,1.068,6.831,92.15,4993.22,0.2159,46.6656,0.335572,55.0018,1.538,0.9914,4.25423,1.538,0.06714,1.37,3.097,17.39,79.52,5863.6,0.49524,54.8,0.0385572,168.216,3.077,3.107,6.3995,1.538,0.1029,1.37,0.6923,7.895,91.45,5863.6,0.19133,54.8,0,32.7255,1.538,0.5756,5.63254,0,0.07828,1.37,0.6607,71.84,27.53,4993.22,0.94919,46.6656,22.5267,0,0.2857,18.8268,1.538,0.2761,1.37,11.125,8.9458,12.261,16.2435,60.5,5.1566,36.302,36.425,9.3478,11.175,8.9177,28,29.108,5.5,5.249,0.513373,0.18672,6.05,2200,5480.43,0,9.45513,16,5690.69,2.93047,36.92,3.63,3.63,0,0,0.01878,3.795,17.1,3200,31,1.195,32.1294,1.32,42,1.1,-0.625
2026-07-03T07:29:45.719713+00:00,0.651155,236.16,107,7.624,59.44,33.28,5002.25,1.4117,46.75,2.14799,384.769,6.25,7.71,32.7866,0,0.6183,1.06,17.16,60.03,23.17,5863.6,2.4718,54.8,4.32741,345.746,4.688,6.571,658.83,6.25,12.82,1.375,0.7261,6.811,92.55,4993.22,0.15972,46.6656,0.429423,33.8916,0,0.6102,5.69611,0,0.0896,1.375,36.39,39.67,24.29,5863.6,2.5723,54.8,3.31809,181.983,1.562,3.465,1952.73,32.81,38.46,1.375,0.5866,1.672,97.83,4993.22,0.06759,46.6656,0,27.9985,0,0.5172,5.2931,0,0.08493,1.375,1.743,18.08,80.24,4993.22,0.40746,46.6656,0,86.4011,0,1.608,10.8893,0,0.1933,1.375,0.3997,17.03,82.76,4993.22,0.24769,46.6656,0,15.5132,0,0.2344,8.18521,0,0.1073,1.375,0.4855,8.844,90.84,4993.22,0.14955,46.6656,8.34643,0,0.113,19.5013,1.562,0.3312,1.375,10.25,7.1407,9.7294,16.2476,41,5.1911,33.982,34.05,9.4491,11.295,7.1586,26.375,26.735,3.32,4.596,0.301609,0.126058,4.1,2200,5480.43,0,9.44872,15.5,5550.66,2.39028,32.81,3.398,3.398,0,0,1.616,3.046,17.1,3200,31.0149,1.195,32.0994,1.288,42,1.1,-0.625
2026-07-03T07:29:46.714880+00:00,0.515752,192.959,107,4.134,60.92,35.16,5002.25,0.9346,46.75,1.11167,182.979,6.25,4.232,13.8922,1.562,0.2517,1.375,32.08,47.18,21.02,5863.6,2.4099,54.8,2.91185,1740.66,31.25,34.22,137.543,3.125,2.636,1.06,0.6131,2.051,97.37,4993.22,0.076201,46.6656,0,28.1724,1.562,0.5131,6.43225,1.562,0.1088,1.06,12.63,51.73,35.73,4993.22,1.4212,46.6656,1.47271,553.407,10.94,10.77,304.38,7.812,5.913,1.06,0.243,1.002,98.83,4993.22,0.054598,46.6656,0,10.7089,1.562,0.1809,4.39778,1.587,0.07121,1.06,1.241,7.054,91.77,4993.22,0.15903,46.6656,0,58.3166,1.562,1.084,8.35951,1.562,0.1439,1.06,0.3556,8.565,91.29,5863.6,0.14014,54.8,0,13.5687,1.562,0.2147,8.05694,1.562,0.1116,1.06,0.2756,11.83,88.07,4993.22,0.15986,46.6656,8.98123,1.562,0.1191,7.47775,0,0.09936,1.06,14.5,6.0277,8.1859,15.6795,48,5.0636,31.948,31.74,9.2304,11.036,5.9849,24.875,24.792,4.689,3.792,0.279197,0.0795773,4.8,2200,5480.43,0,9.41667,15.5,5505.79,1.84683,31.25,3.195,3.195,0,0,1.915,2.547,16.5,3200,31.0151,1.196,32.0855,1.281,42,1.1,-0.625
2026-07-03T07:29:47.709880+00:00,0.944648,353.381,107,11.41,78.99,9.596,5002.25,2.0227,46.75,3.40085,614.978,10.94,11.83,56.2319,1.587,1.083,1.165,24.43,75.13,0.433,5863.6,3.1976,54.8,6.07907,616.204,7.812,11.93,834.308,14.29,16.32,1.375,2.726,25.1,72.18,4993.22,0.6535,46.6656,1.6752,145.597,3.125,2.742,25.1026,1.613,0.4692,1.375,46.83,52.83,0.3415,4993.22,4.1515,46.6656,6.59199,647.94,15.62,12.63,2132.79,40.62,41.96,1.375,1.73,13.68,84.59,4993.22,0.39804,46.6656,0.904995,86.0384,6.349,1.611,26.6335,1.587,0.5015,1.375,4.666,36.61,58.72,4993.22,0.96805,46.6656,0.995733,248.038,3.125,4.675,31.3913,1.587,0.5885,1.375,1.806,83.84,14.35,4993.22,1.3184,46.6656,1.51192,77.8333,3.125,1.392,47.8949,1.587,0.7682,1.375,0.8562,10.8,88.34,4993.22,0.28188,46.6656,33.1668,1.613,0.608,29.9405,1.587,0.5381,1.375,15.5,11.472,15.784,16.5959,84.5,5.0835,39.579,39.553,9.1546,10.945,11.497,23.875,32.321,7.261,6.852,0.30115,0.125315,8.45,2200,5480.43,0,9.60256,15.75,5728.86,3.41227,40.62,3.958,3.958,0,0,0,4.892,17.47,3200,31.005,1.196,32.1406,1.337,42,1.1,-0.625
2026-07-03T07:29:48.710083+00:00,0.585303,211.298,107,7.508,76.62,15.95,5002.25,1.365,46.75,1.9985,413.444,10.94,8.08,18.4922,0,0.3404,1.06,26.94,69.39,3.739,5863.6,2.5711,54.8,3.65163,399.619,7.812,7.715,1166.38,20.31,22.94,1.375,0.5371,4.291,95.2,4993.22,0.10548,46.6656,0.448125,22.6778,0,0.394,6.73353,0,0.1115,1.375,20.71,60.03,19.33,4993.22,1.9639,46.6656,2.34063,145.976,6.25,2.755,1050.35,19.05,20.61,1.375,0.4533,2.922,96.65,4993.22,0.084976,46.6656,0,20.2537,0,0.3636,5.14439,0,0.08109,1.375,1.503,14.21,84.31,4993.22,0.29424,46.6656,0,72.6465,6.349,1.349,7.86309,0,0.1305,1.375,0.5195,9.902,89.67,4993.22,0.18107,46.6656,0,19.4292,0,0.3217,10.4327,0,0.156,1.375,0.3598,30.45,69.28,4993.22,0.354,46.6656,9.98801,0,0.1236,11.3437,0,0.1387,1.375,9.25,6.667,9.0923,15.8639,56,5.0598,32.848,33.1,9.1465,10.936,6.6975,22.75,25.594,4.419,4.101,0.154654,0.11402,5.6,2200,5480.43,0,9.37179,16,5614.1,2.46238,20.31,3.285,3.285,0,0,0.3841,2.85,16.7,3200,31,1.196,32.217,1.301,42,1.1,-0.625
2026-07-03T07:29:49.706068+00:00,0.582605,208.678,107,5.926,40.07,54.21,5002.25,0.82443,46.75,1.18637,259.326,3.125,6.266,9.81832,0,0.1701,1.06,31.05,53.2,15.88,5002.25,2.5992,46.75,3.3878,1600.3,26.98,31.47,226.239,3.125,4.391,1.06,0.6683,1.916,97.5,5002.25,0.074807,46.75,0.11747,27.8108,0,0.5073,10.1645,0,0.1795,1.06,18.52,42.27,39.39,5002.25,1.6605,46.75,1.87287,881.164,15.62,17.26,195.748,3.125,3.782,1.06,0.3119,0.6294,99.14,5002.25,0.052731,46.75,0,14.6922,0,0.2604,4.42128,0,0.07013,1.06,1.005,11.37,87.69,5002.25,0.23132,46.75,0,52.4598,1.562,0.9625,6.02977,0,0.09681,1.06,0.4808,8.638,91.1,5002.25,0.12737,46.75,0,20.0681,0,0.3397,7.40583,0,0.099,1.06,0.3069,39.81,60.11,5002.25,0.53547,46.75,14.4823,0,0.1905,8.71452,0,0.1199,1.06,12.125,6.4593,8.801,15.8393,52.5,5.0236,32.483,32.448,9.1416,10.93,6.4608,21.875,25.257,3.347,4.135,0.397416,0.124827,5.25,2200,5480.43,0,9.3141,15.75,5527.14,2.1255,26.98,3.248,3.248,0,0,2.172,2.749,16.67,3200,31.0351,1.196,32.1908,1.292,42,1.1,-0.6875
2026-07-03T07:29:50.707875+00:00,0.578254,216.281,107,5.957,65.13,29.19,4993.22,1.1714,46.6656,1.54528,287.633,6.25,5.919,26.0235,0,0.4917,1.375,23.91,54.72,21.79,5863.6,2.158,54.8,2.75449,1327.25,21.54,26.02,68.5984,0,1.261,1.38,0.6953,4.46,94.89,4993.22,0.11506,46.6656,0.218438,29.6547,0,0.5362,10.8118,0,0.1903,1.38,24.99,54.27,21.15,5863.6,2.2985,54.8,2.61989,1227.95,25,24.08,350.042,7.692,6.824,1.38,0.3688,1.558,98.13,4993.22,0.068205,46.6656,0,15.7654,0,0.2733,6.22466,0,0.1043,1.38,1.142,16.87,82.05,4993.22,0.28086,46.6656,0,53.6313,0,0.9597,8.21725,0,0.1401,1.38,0.4081,12.15,87.64,4993.22,0.17337,46.6656,0,17.865,0,0.2903,5.42534,0,0.07005,1.38,0.3584,52.32,47.41,4993.22,0.69159,46.6656,15.849,0,0.2133,9.55917,0,0.1231,1.38,10.75,6.8772,9.3414,15.6609,38.5,5.0332,32.997,32.907,9.1387,10.927,6.8582,21,25.805,3.78,4.218,0.275838,0.159486,3.85,2200,5480.43,0,9.41667,15.5,5524.48,2.14022,25,3.3,3.3,0,0,2.049,2.918,16.49,3200,31.01,1.196,32.1747,1.285,42,1.1,-0.625
2026-07-03T07:29:51.719059+00:00,0.565116,202.016,107,5.153,67.27,27.58,5863.6,1.0723,54.8,1.47144,239.089,1.562,5.177,15.4663,0,0.2836,1.14,10.91,85.23,3.861,4993.22,1.9193,46.6656,2.96798,408.75,1.562,7.851,217.092,4.688,4.198,1.15,0.5695,2.808,96.62,4993.22,0.090386,46.6656,0.169881,26.3574,0,0.4738,4.81593,0,0.07311,1.15,37.35,57.56,5.081,5863.6,2.821,54.8,3.22762,2059.68,32.81,40.54,122.719,1.562,2.324,1.15,0.4982,0.639,98.86,4993.22,0.063859,46.6656,0,18.5086,0,0.3347,8.46762,0,0.1488,1.15,1.154,11.12,87.73,4993.22,0.21527,46.6656,0,54.9663,1.538,0.9964,5.34911,0,0.08293,1.15,0.5887,31.05,68.36,5863.6,0.39039,54.8,0,20.3339,0,0.3088,11.5434,0,0.16,1.15,0.2815,35.84,63.88,4993.22,0.51423,46.6656,11.8106,0,0.1514,7.31142,0,0.09368,1.15,9.75,6.8808,9.4177,15.6861,31,5.0687,33.169,33.181,9.1681,10.961,6.8853,20.25,25.954,2.733,3.95,0.155958,0.0621227,3.1,2200,5480.43,0,9.36538,16,5685.15,2.34186,32.81,3.317,3.317,0,0,0,2.93,16.51,3200,31.0148,1.196,32.2186,1.322,42,1.1,-0.625
2026-07-03T07:29:52.706935+00:00,0.537717,191.64,107,4.387,49.82,46.28,5002.25,0.86593,46.75,1.15919,186.893,0,4.458,6.94811,0,0.1145,1.06,17.77,55.81,26.96,5863.6,1.793,54.8,2.21669,950.804,15.62,18.59,84.8811,0,1.58,1.375,0.6071,3.508,95.93,4993.22,0.1056,46.6656,0.130572,28.9898,0,0.5197,5.4821,0,0.09083,1.375,28.5,39.24,32.65,4993.22,1.9909,46.6656,2.03584,1393.57,23.81,27.38,267.658,3.175,5.213,1.375,0.6128,2.558,96.87,4993.22,0.09262,46.6656,0,26.4101,0,0.4814,6.65721,0,0.1187,1.375,0.9687,10.77,88.3,4993.22,0.20764,46.6656,0,47.5909,0,0.8534,5.94461,0,0.09742,1.375,0.4974,8.204,91.38,4993.22,0.14165,46.6656,0,22.0826,0,0.38,4.43494,0,0.05615,1.375,0.4343,43.4,56.4,4993.22,0.57309,46.6656,18.8419,0,0.2585,9.04876,0,0.1164,1.375,8.75,5.656,7.6818,15.5388,51.5,4.9919,31.335,31.413,9.1479,10.938,5.6638,19.625,24.111,2.663,3.769,0.218793,0.0992377,5.15,2200,5480.43,0,9.33333,15,5425.25,1.97239,23.81,3.134,3.134,0,0,3.693,2.41,16.36,3200,31.0101,1.196,32.157,1.275,42,1.1,-0.6875
